"filename", "language", "Ignore", "JSON", "JavaScript", "comment", "blank", "total"
"d:\College-Khabar\.prettierignore", "Ignore", 6, 0, 0, 0, 1, 7
"d:\College-Khabar\.prettierrc", "JSON", 0, 7, 0, 0, 0, 7
"d:\College-Khabar\package-lock.json", "JSON", 0, 1689, 0, 0, 1, 1690
"d:\College-Khabar\package.json", "JSON", 0, 32, 0, 0, 1, 33
"d:\College-Khabar\src\app.js", "JavaScript", 0, 0, 31, 3, 8, 42
"d:\College-Khabar\src\constants.js", "JavaScript", 0, 0, 1, 0, 1, 2
"d:\College-Khabar\src\controllers\post.controller.js", "JavaScript", 0, 0, 10, 0, 8, 18
"d:\College-Khabar\src\controllers\profile.controller.js", "JavaScript", 0, 0, 137, 2, 21, 160
"d:\College-Khabar\src\controllers\room.controller.js", "JavaScript", 0, 0, 644, 15, 67, 726
"d:\College-Khabar\src\controllers\user.controller.js", "JavaScript", 0, 0, 297, 19, 68, 384
"d:\College-Khabar\src\db\index.js", "JavaScript", 0, 0, 16, 0, 4, 20
"d:\College-Khabar\src\index.js", "JavaScript", 0, 0, 15, 0, 2, 17
"d:\College-Khabar\src\middlewares\auth.middleware.js", "JavaScript", 0, 0, 34, 8, 14, 56
"d:\College-Khabar\src\middlewares\multer.middleware.js", "JavaScript", 0, 0, 13, 0, 3, 16
"d:\College-Khabar\src\middlewares\validate.middleware.js", "JavaScript", 0, 0, 14, 0, 3, 17
"d:\College-Khabar\src\models\comment.model.js", "JavaScript", 0, 0, 22, 0, 3, 25
"d:\College-Khabar\src\models\follow.model.js", "JavaScript", 0, 0, 19, 0, 3, 22
"d:\College-Khabar\src\models\like.model.js", "JavaScript", 0, 0, 17, 0, 3, 20
"d:\College-Khabar\src\models\post.model.js", "JavaScript", 0, 0, 36, 1, 5, 42
"d:\College-Khabar\src\models\profile.model.js", "JavaScript", 0, 0, 39, 0, 4, 43
"d:\College-Khabar\src\models\room.model.js", "JavaScript", 0, 0, 58, 0, 5, 63
"d:\College-Khabar\src\models\user.model.js", "JavaScript", 0, 0, 80, 0, 7, 87
"d:\College-Khabar\src\routes\profile.route.js", "JavaScript", 0, 0, 11, 0, 5, 16
"d:\College-Khabar\src\routes\room.route.js", "JavaScript", 0, 0, 35, 1, 11, 47
"d:\College-Khabar\src\routes\user.route.js", "JavaScript", 0, 0, 22, 1, 4, 27
"d:\College-Khabar\src\utils\ApiError.js", "JavaScript", 0, 0, 21, 0, 3, 24
"d:\College-Khabar\src\utils\ApiResponse.js", "JavaScript", 0, 0, 9, 0, 1, 10
"d:\College-Khabar\src\utils\asyncHandler.js", "JavaScript", 0, 0, 6, 0, 2, 8
"d:\College-Khabar\src\utils\cloudinary.js", "JavaScript", 0, 0, 21, 3, 4, 28
"d:\College-Khabar\src\validators\user.validator.js", "JavaScript", 0, 0, 7, 0, 4, 11
"d:\College-Khabar\vercel.json", "JSON", 0, 5, 0, 0, 1, 6
"Total", "-", 6, 1733, 1615, 53, 267, 3674